id_estudiante;plan;anio_ingreso;fecha_ingreso;fecha_ultimo_examen;anio_ultima_reinscripcion;promedio_sin_aplazos;promedio_con_aplazos;actividades_aprobadas;total_actividades;regular;calidad;segundo_anio
CB-015914-6;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-015898-1;2007;2020;01/04/2020;23/08/2021;2021.0;6.8;8.0;4;40;S;A;N
CB-015876-0;2007;2020;01/04/2020;23/08/2021;2021.0;6.4;6.4;5;40;S;A;S
CB-015788-7;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015884-1;2007;2020;01/04/2020;18/08/2021;2021.0;7.67;7.67;10;40;S;A;S
CB-015930-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-015952-9;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016040-3;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-016424-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016073-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016411-5;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015958-8;2007;2020;01/04/2020;;2021.0;7.75;7.75;4;40;S;A;N
CB-015943-0;2007;2020;01/04/2020;;2021.0;8.8;8.8;5;40;S;A;S
CB-015921-9;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016079-9;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015032-7;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-016009-8;2007;2020;01/04/2020;18/08/2021;2021.0;6.43;7.17;8;40;S;A;S
CB-016125-6;2007;2020;01/04/2020;23/08/2021;2021.0;7.8;7.8;6;40;S;A;S
CB-015806-9;2007;2020;01/04/2020;18/08/2021;2021.0;9.0;9.0;3;40;S;A;N
CB-016445-0;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015988-0;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-016800-5;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-016417-4;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016083-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016055-1;2007;2020;01/04/2020;20/08/2021;2021.0;5.8;6.88;8;40;S;A;S
CB-015813-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016038-1;2007;2020;01/04/2020;14/12/2020;2021.0;8.0;8.0;3;40;S;A;N
CB-015798-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016495-6;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015954-5;2007;2020;01/04/2020;20/08/2021;2021.0;5.31;6.75;8;40;S;A;S
CB-016016-1;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-016779-3;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015978-2;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016033-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-016511-1;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N
CB-017500-1;2007;2020;01/04/2020;18/08/2021;2021.0;8.13;8.13;10;40;S;A;S
CB-015897-2;2007;2020;01/04/2020;23/08/2021;2021.0;5.33;7.0;9;40;S;A;S
CB-015828-0;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016454-9;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015789-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016121-3;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016019-5;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015815-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015938-3;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-015887-5;2007;2020;01/04/2020;18/08/2021;2021.0;6.33;7.2;7;40;S;A;S
CB-016041-1;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015841-7;2007;2020;01/04/2020;18/08/2021;2021.0;7.33;7.33;5;40;S;A;S
CB-015856-5;2007;2020;01/04/2020;20/08/2021;2021.0;5.25;7.5;2;40;S;A;N
CB-016017-9;2007;2020;01/04/2020;23/08/2021;2021.0;5.23;6.33;14;40;S;A;S
CB-015870-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-016453-1;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016058-6;2007;2020;01/04/2020;;;7.25;7.25;4;40;S;P;N
CB-016790-4;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-016497-2;2007;2020;01/04/2020;;2021.0;7.0;7.0;7;40;S;A;S
CB-015934-1;2007;2020;01/04/2020;;2021.0;8.33;8.33;3;40;S;A;N
CB-016510-3;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016460-3;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-015994-4;2007;2020;01/04/2020;16/03/2021;2021.0;6.5;6.5;2;40;S;A;N
CB-015834-4;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-015973-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015819-1;2007;2020;01/04/2020;;2021.0;6.67;6.67;3;40;S;A;N
CB-016786-6;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016747-5;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-015319-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;3;40;S;A;N
CB-015987-1;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-015927-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016491-3;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016047-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015989-8;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-016042-0;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N
CB-016066-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-015896-4;2007;2020;01/04/2020;;;6.67;6.67;3;40;S;P;N
CB-015872-7;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-016503-1;2007;2020;01/04/2020;17/03/2021;2021.0;7.29;7.29;7;40;S;A;S
CB-016111-6;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016447-6;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016080-2;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016134-5;2007;2020;01/04/2020;18/03/2021;;6.2;7.25;4;40;S;P;N
CB-015941-3;2007;2020;01/04/2020;20/08/2021;2021.0;5.83;6.56;9;40;S;A;S
CB-016091-8;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015827-1;2007;2020;01/04/2020;15/03/2021;2021.0;6.5;8.0;3;40;S;A;N
CB-015923-5;2007;2020;01/04/2020;;2021.0;7.5;7.5;4;40;S;A;N
CB-015034-3;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N
CB-015842-5;2007;2020;01/04/2020;20/08/2021;2021.0;6.5;8.0;3;40;S;A;N
CB-016137-0;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N
CB-016499-9;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015961-8;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-017501-0;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015781-0;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N
CB-015959-6;2007;2020;01/04/2020;15/12/2020;2021.0;7.0;7.0;5;40;S;A;S
CB-015818-2;2007;2020;01/04/2020;18/08/2021;2021.0;7.92;8.36;13;40;S;A;S
CB-016049-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015909-0;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016008-0;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015803-4;2007;2020;01/04/2020;23/08/2021;2021.0;7.75;8.09;11;40;S;A;S
CB-016396-8;2007;2020;01/04/2020;18/08/2021;2021.0;6.0;6.63;10;40;S;A;S
CB-016477-8;2007;2020;01/04/2020;;2021.0;6.67;6.67;3;40;S;A;N
CB-015797-6;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-016435-2;2007;2020;01/04/2020;;2021.0;9.0;9.0;1;40;N;A;N
CB-016102-7;2007;2020;01/04/2020;;2021.0;6.4;6.4;5;40;S;A;S
CB-015046-7;2007;2020;01/04/2020;;;8.67;8.67;3;40;S;P;N
CB-015933-2;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-015867-1;2007;2020;01/04/2020;05/08/2021;2021.0;7.43;7.43;9;40;S;A;S
CB-016114-1;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-016028-4;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N
CB-015846-8;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-015889-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-015908-1;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-016082-9;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-016014-4;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015780-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016072-1;2007;2020;01/04/2020;;;7.0;7.0;3;40;S;P;N
CB-016116-7;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015844-1;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-015902-2;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016025-0;2007;2020;01/04/2020;05/08/2021;2021.0;5.38;6.5;6;40;S;A;S
CB-016761-1;2007;2020;01/04/2020;18/03/2021;2021.0;6.75;8.33;3;40;S;A;N
CB-015912-0;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-015977-4;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N
CB-016129-9;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N
CB-015905-7;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-016489-1;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015881-6;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016428-0;2007;2020;01/04/2020;20/08/2021;2021.0;6.27;7.38;10;40;S;A;S
CB-016413-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015865-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015864-6;2007;2020;01/04/2020;;2021.0;7.57;7.57;7;40;S;A;S
CB-016788-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-016426-3;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016463-8;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015982-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016798-0;2007;2020;01/04/2020;;2021.0;8.5;8.5;4;40;S;A;N
CB-016432-8;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N
CB-015776-3;2007;2020;01/04/2020;;;7.0;7.0;3;40;S;P;N
CB-016043-8;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016753-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016796-3;2007;2020;01/04/2020;23/08/2021;2021.0;5.0;7.33;8;40;S;A;S
CB-015816-6;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-015805-1;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N
CB-017503-6;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-015792-5;2007;2020;01/04/2020;;2021.0;7.0;7.0;4;40;S;A;N
CB-015878-6;2007;2020;01/04/2020;;;10.0;10.0;1;40;N;P;N
CB-015852-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015918-9;2007;2020;01/04/2020;18/08/2021;2021.0;7.55;7.55;12;40;S;A;S
CB-016442-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-015939-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016067-5;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015951-1;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-016509-0;2007;2020;01/04/2020;19/08/2021;2021.0;7.33;7.33;3;40;S;A;N
CB-008805-2;2007;2020;01/04/2020;;;6.64;6.64;11;40;S;P;S
CB-016493-0;2007;2020;01/04/2020;18/03/2021;2021.0;5.0;7.0;3;40;S;A;N
CB-016762-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;3;40;S;A;N
CB-016327-5;2007;2020;01/04/2020;;2021.0;6.75;6.75;4;40;S;A;N
CB-016470-1;2007;2020;01/04/2020;;;9.0;9.0;2;40;S;P;N
CB-015855-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-016123-0;2007;2020;01/04/2020;18/08/2021;2021.0;7.25;7.25;6;40;S;A;S
CB-014048-8;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N
CB-016456-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016103-5;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-016118-3;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016439-5;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-015906-5;2007;2020;01/04/2020;23/08/2021;2021.0;6.67;7.6;7;40;S;A;S
CB-017505-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-015777-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016004-7;2007;2020;01/04/2020;;;6.33;6.33;3;40;S;P;N
CB-015957-0;2007;2020;01/04/2020;;2021.0;7.5;7.5;4;40;S;A;N
CB-015775-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015932-4;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016404-2;2007;2020;01/04/2020;18/08/2021;2021.0;8.0;8.0;5;40;S;A;S
CB-015942-1;2007;2020;01/04/2020;03/08/2021;2021.0;7.8;7.8;6;40;S;A;S
CB-015791-7;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016044-6;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N
CB-016501-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016018-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N
CB-013240-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016507-3;2007;2020;01/04/2020;20/03/2021;2021.0;4.0;6.0;1;40;N;A;N
CB-015545-1;2007;2020;01/04/2020;;2021.0;9.0;9.0;2;40;S;A;N
CB-015801-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N
CB-015830-1;2007;2020;01/04/2020;19/08/2021;2021.0;5.33;6.75;9;40;S;A;S
CB-016022-5;2007;2020;01/04/2020;20/03/2021;2021.0;5.25;6.33;3;40;S;A;N
CB-015833-6;2007;2020;01/04/2020;;2021.0;6.71;6.71;7;40;S;A;S
CB-016140-0;2007;2020;01/04/2020;20/08/2021;2021.0;6.6;8.67;3;40;S;A;N
CB-016007-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016011-0;2007;2020;01/04/2020;;;7.67;7.67;3;40;S;P;N
CB-016440-9;2007;2020;01/04/2020;16/03/2021;2021.0;5.5;6.67;3;40;S;A;N
CB-016051-9;2007;2020;01/04/2020;20/08/2021;2021.0;4.6;6.33;4;40;S;A;N
CB-016095-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015863-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016425-5;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-012097-5;2007;2020;01/04/2020;;2021.0;6.4;6.4;5;40;S;A;S
CB-015794-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N
CB-016105-1;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N
CB-015929-4;2007;2020;01/04/2020;18/08/2021;2021.0;7.44;7.44;11;40;S;A;S
CB-015983-9;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016479-4;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-016467-1;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N
CB-016393-3;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016452-2;2007;2020;01/04/2020;;2021.0;8.33;8.33;3;40;S;A;N
CB-015981-2;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N
CB-016414-0;2007;2020;01/04/2020;05/08/2021;2021.0;5.71;8.25;4;40;S;A;N
CB-016122-1;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N
CB-016026-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N
CB-016113-2;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-016423-9;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015882-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016462-0;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N
CB-016820-0;2007;2020;01/04/2020;;2021.0;9.0;9.0;2;40;S;A;N
CB-016394-1;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016758-1;2007;2020;01/04/2020;16/03/2021;2021.0;6.75;6.75;8;40;S;A;S
CB-016086-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-014287-1;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N
CB-015874-3;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N
CB-016062-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016002-1;2007;2020;01/04/2020;20/08/2021;2021.0;5.67;7.25;4;40;S;A;N
CB-015997-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;5;40;S;A;S
CB-013301-5;2007;2020;01/04/2020;;;7.13;7.13;8;40;S;P;S
CB-015861-1;2007;2020;01/04/2020;19/08/2021;2021.0;6.91;7.4;13;40;S;A;S
CB-015899-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-016403-4;2007;2020;01/04/2020;;;9.5;9.5;2;40;S;P;N
CB-016030-6;2007;2020;01/04/2020;19/08/2021;2021.0;6.69;7.7;12;40;S;A;S
CB-016076-4;2007;2020;01/04/2020;17/08/2021;2021.0;6.55;7.44;10;40;S;A;S
CB-014390-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015955-3;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015871-9;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N
CB-016068-3;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016422-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-015980-4;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-016023-3;2007;2020;01/04/2020;;2021.0;7.75;7.75;4;40;S;A;N
CB-017734-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N
CB-016408-5;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N
CB-015868-9;2007;2020;01/04/2020;;2021.0;8.25;8.25;4;40;S;A;N
CB-015979-1;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-016075-6;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-015926-0;2007;2020;01/04/2020;;2021.0;6.75;6.75;4;40;S;A;N
CB-015950-2;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N
CB-015850-6;2007;2020;01/04/2020;18/08/2021;2021.0;7.7;7.7;12;40;S;A;S
CB-015866-2;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N
CB-016092-6;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015984-7;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-015894-8;2007;2020;01/04/2020;03/08/2021;2021.0;8.67;8.67;7;40;S;A;S
CB-015971-5;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N
CB-013985-4;2007;2020;01/04/2020;20/08/2021;2021.0;6.94;7.13;17;40;S;A;S
CB-016094-2;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N
CB-016036-5;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N
CB-016421-2;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016098-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-013150-1;2007;2020;01/04/2020;;2021.0;7.14;7.14;7;40;S;A;S
CB-015949-9;2007;2020;01/04/2020;19/12/2020;2021.0;5.14;6.4;5;40;S;A;S
CB-013914-5;2007;2020;01/04/2020;05/08/2021;2021.0;6.59;6.81;28;40;S;A;S
CB-016039-0;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016484-1;2007;2020;01/04/2020;;;6.0;6.0;3;40;S;P;N
CB-015946-4;2007;2020;01/04/2020;;2021.0;6.0;6.0;2;40;S;A;N
CB-016392-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016131-1;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N
CB-015853-1;2007;2020;01/04/2020;20/08/2021;2021.0;6.08;7.11;9;40;S;A;S
CB-016063-2;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N
CB-016126-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N
CB-016818-8;2007;2020;01/04/2020;;2021.0;8.75;8.75;4;40;S;A;N
CB-016504-9;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-009496-6;2007;2020;01/04/2020;;;8.44;8.44;16;40;S;P;S
CB-016464-6;2007;2020;01/04/2020;;2021.0;6.0;6.0;2;40;S;A;N
CB-017508-7;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N
CB-015910-3;2007;2020;01/04/2020;23/08/2021;2021.0;4.14;6.67;3;40;S;A;N
CB-016473-5;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N
CB-002240-0;2007;2020;01/04/2020;;;7.06;7.06;16;40;S;P;S
CB-016107-8;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N
CB-016519-7;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N
CB-016429-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N
CB-016757-2;2007;2020;01/04/2020;;2021.0;8.0;8.0;1;40;N;A;N
CB-015821-2;2007;2020;01/04/2020;20/08/2021;2021.0;7.42;7.73;16;40;S;A;S
CB-016515-4;2007;2020;01/04/2020;18/08/2021;2021.0;7.55;7.9;10;40;S;A;S
