propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;estadoN;rindio_examen;inscrito_ult_ciclo
134;S;S;Medio;N;1.0;0.0;0.125;P;S;S
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;S;S
130;S;S;Alto;N;1.0;0.0;0.1428571428571428;P;N;S
130;S;S;Alto;N;0.0;0.0;0.2619047619047619;P;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;A;N;S
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;P;N;S
130;N;N;Medio;N;0.5;0.3333333333333333;0.0238095238095238;A;N;N
130;S;N;Alto;N;0.5;0.3333333333333333;0.0476190476190476;A;S;S
130;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
130;S;S;Medio;N;0.0;0.0;0.119047619047619;P;S;S
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;N;S
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;0.0;0.6666666666666666;0.0;A;N;N
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;S;Medio;N;0.5;0.3333333333333333;0.3571428571428571;A;N;S
130;S;S;Alto;N;0.5;0.6666666666666666;0.1428571428571428;A;N;S
130;N;N;Bajo;N;0.0;0.0;0.0;A;N;N
130;S;S;Medio;N;0.5;0.0;0.119047619047619;P;N;S
130;S;N;Alto;N;0.5;0.0;0.0714285714285714;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;S;Alto;N;0.5;0.6666666666666666;0.119047619047619;A;N;S
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;A;N;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.0;0.0;0.1428571428571428;A;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;N;Medio;N;0.5;0.0;0.0952380952380952;A;N;S
130;S;S;Medio;N;0.5;0.0;0.4285714285714285;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;S;Medio;N;1.0;0.0;0.1428571428571428;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;N;Alto;N;0.5;0.0;0.0714285714285714;A;N;S
130;S;N;Alto;N;1.0;0.0;0.0476190476190476;P;N;S
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P;N;N
134;N;N;Medio;N;1.0;0.0;0.025;P;N;N
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;P;N;S
130;N;N;Medio;N;1.0;0.0;0.0238095238095238;A;N;N
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;S;Alto;N;1.0;0.3333333333333333;0.238095238095238;A;S;S
130;S;S;Medio;N;1.0;0.0;0.119047619047619;P;N;S
130;S;S;Medio;N;0.5;0.3333333333333333;0.6904761904761905;A;N;S
130;S;S;Alto;N;0.5;0.0;0.4285714285714285;P;S;S
134;S;N;Alto;N;0.0;0.0;0.05;P;N;S
130;S;S;Alto;N;0.5;0.0;0.119047619047619;P;S;S
130;S;N;Alto;N;0.0;0.3333333333333333;0.0952380952380952;A;S;S
130;N;N;Medio;N;0.0;0.3333333333333333;0.0238095238095238;A;N;N
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;S;Alto;A;0.5;0.0;0.1428571428571428;A;S;S
130;S;N;Medio;N;1.0;0.0;0.0952380952380952;P;S;S
130;S;S;Alto;N;1.0;0.6666666666666666;0.7857142857142857;A;N;S
130;S;S;Alto;N;0.5;0.0;0.4047619047619047;P;S;S
130;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
130;S;N;Alto;N;0.5;0.3333333333333333;0.0714285714285714;A;S;S
134;S;N;Alto;N;1.0;0.3333333333333333;0.05;A;N;S
130;N;N;Medio;N;0.0;0.6666666666666666;0.0238095238095238;A;N;N
130;S;S;Alto;N;0.0;0.3333333333333333;0.1428571428571428;A;S;S
130;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
130;S;N;Medio;I;0.5;0.6666666666666666;0.0476190476190476;A;N;S
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;S;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.0;0.119047619047619;P;S;S
130;S;S;Alto;N;0.5;0.0;0.2142857142857142;A;S;S
130;S;N;Alto;N;0.0;0.0;0.0714285714285714;P;S;S
130;N;N;Alto;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;S;Medio;N;1.0;0.3333333333333333;0.2857142857142857;A;N;S
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;S;S
130;S;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333;A;N;S
130;S;N;Medio;N;1.0;0.0;0.0952380952380952;P;S;S
130;S;S;Alto;N;1.0;0.0;0.2857142857142857;P;S;S
130;S;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333;A;N;S
134;S;S;Alto;N;0.0;0.0;0.225;P;S;S
130;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
130;N;N;Alto;N;1.0;0.3333333333333333;0.0238095238095238;A;N;N
134;S;N;Medio;N;1.0;0.0;0.075;P;S;S
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P;N;N
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;S;S
130;N;N;Medio;N;0.0;0.6666666666666666;0.0238095238095238;A;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;1.0;0.6666666666666666;0.0;A;N;N
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;A;N;N
130;S;N;Alto;N;1.0;0.6666666666666666;0.0476190476190476;A;N;S
130;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
130;S;S;Alto;N;0.5;1.0;0.4047619047619047;A;S;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0714285714285714;A;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;S;Alto;A;1.0;0.3333333333333333;0.238095238095238;A;S;S
130;S;S;Alto;N;0.5;0.3333333333333333;0.3809523809523809;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;N;Alto;N;0.5;0.0;0.0952380952380952;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
134;S;N;Medio;N;0.5;0.0;0.075;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;S;S
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;A;N;S
130;N;N;Alto;N;1.0;0.6666666666666666;0.0238095238095238;A;N;N
130;S;S;Alto;N;0.0;0.6666666666666666;0.4047619047619047;A;S;S
130;S;N;Medio;N;1.0;0.0;0.0714285714285714;P;N;S
130;S;N;Medio;N;1.0;0.3333333333333333;0.0476190476190476;A;N;S
130;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
130;S;N;Alto;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;S;Medio;N;1.0;0.6666666666666666;0.3095238095238095;A;S;S
130;N;N;Alto;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Alto;N;0.0;0.6666666666666666;0.0238095238095238;A;N;N
130;S;N;Medio;N;0.5;0.6666666666666666;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.0;0.7619047619047619;A;N;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.3333333333333333;0.4761904761904761;A;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;N;Alto;N;1.0;0.6666666666666666;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.0;0.1904761904761904;P;S;S
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;N;S
130;S;N;Alto;N;1.0;1.0;0.0714285714285714;A;S;S
130;N;N;Medio;N;1.0;0.3333333333333333;0.0238095238095238;A;N;N
130;S;S;Medio;N;1.0;0.0;0.119047619047619;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;A;N;N
130;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
130;N;N;Bajo;N;1.0;0.6666666666666666;0.0;A;N;N
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;P;N;S
130;N;N;Medio;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
130;S;S;Alto;N;1.0;0.0;0.1666666666666666;P;S;S
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;N;S
134;S;N;Alto;N;0.0;0.0;0.1;P;S;S
130;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
130;S;S;Alto;N;1.0;0.0;0.1428571428571428;A;S;S
130;S;N;Medio;N;0.5;0.6666666666666666;0.0714285714285714;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;S;N;Alto;N;0.5;0.6666666666666666;0.0952380952380952;A;S;S
130;S;N;Medio;A;0.5;0.0;0.0476190476190476;A;N;S
130;N;N;Bajo;N;1.0;0.3333333333333333;0.0;A;N;N
130;S;N;Alto;N;0.0;0.6666666666666666;0.0476190476190476;A;N;S
130;S;S;Alto;N;1.0;0.6666666666666666;0.2142857142857142;A;S;S
130;S;S;Alto;N;0.5;0.0;0.238095238095238;P;S;S
130;S;S;Alto;N;0.5;0.0;0.1428571428571428;P;N;S
130;S;S;Alto;I;1.0;0.3333333333333333;0.119047619047619;A;S;S
130;S;S;Medio;N;1.0;0.0;0.1666666666666666;P;S;S
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;P;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;N;Medio;N;0.5;0.0;0.0714285714285714;P;S;S
130;S;N;Alto;N;0.5;0.6666666666666666;0.0476190476190476;A;N;S
130;N;N;Bajo;N;0.5;0.6666666666666666;0.0;A;N;N
130;S;S;Alto;N;0.0;0.3333333333333333;0.1428571428571428;A;N;S
134;S;N;Alto;N;0.5;0.0;0.075;P;S;S
130;S;S;Alto;N;0.5;0.0;0.2619047619047619;P;S;S
130;N;N;Alto;N;0.5;1.0;0.0238095238095238;A;N;N
130;S;N;Medio;N;1.0;0.0;0.0476190476190476;P;N;S
130;S;N;Medio;N;0.0;0.0;0.0476190476190476;P;S;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;N;N;Medio;N;0.0;0.3333333333333333;0.0238095238095238;A;N;N
130;S;S;Medio;N;0.5;0.3333333333333333;0.5238095238095238;A;N;S
130;S;S;Alto;N;1.0;0.6666666666666666;0.119047619047619;A;S;S
130;S;S;Alto;N;0.5;0.0;0.1904761904761904;P;S;S
130;S;S;Alto;N;0.5;0.6666666666666666;0.9047619047619048;A;S;S
130;S;S;Alto;N;0.0;0.3333333333333333;0.3095238095238095;A;S;S
130;S;S;Alto;N;0.5;0.3333333333333333;0.8809523809523809;A;N;S
130;S;S;Medio;N;0.5;0.0;0.119047619047619;P;S;S
134;S;N;Alto;N;0.0;0.3333333333333333;0.05;A;N;S
134;S;N;Alto;N;0.0;0.0;0.1;P;S;S
134;S;N;Alto;N;0.0;0.0;0.05;P;N;S
134;S;S;Alto;N;0.5;0.0;0.25;P;S;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Alto;N;0.5;0.0;0.05;A;N;S
134;S;N;Alto;N;0.5;0.0;0.1;P;N;S
134;S;S;Alto;N;0.5;0.0;0.125;P;N;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;S;N;Alto;N;1.0;0.0;0.05;A;N;S
134;S;S;Alto;N;0.5;1.0;0.2;A;S;S
134;S;S;Alto;N;1.0;0.0;0.15;P;S;S
134;S;N;Alto;I;0.5;0.0;0.075;A;S;S
134;N;N;Alto;A;0.5;0.6666666666666666;0.025;A;N;N
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
134;S;S;Medio;N;0.5;0.0;0.2;P;S;S
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;S;N;Alto;N;0.5;0.0;0.075;P;S;S
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;S;Medio;N;0.5;0.0;0.2;P;S;S
134;N;N;Medio;N;0.5;0.3333333333333333;0.025;A;N;N
134;S;S;Medio;N;1.0;0.0;0.225;P;S;S
134;N;N;Medio;N;0.5;0.0;0.025;A;N;N
134;N;N;Bajo;N;0.0;0.6666666666666666;0.0;A;N;N
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
134;S;S;Alto;N;0.0;0.0;0.175;P;S;S
134;N;N;Alto;N;0.0;0.3333333333333333;0.025;A;N;N
134;S;S;Alto;N;0.5;0.0;0.125;P;S;S
134;S;N;Alto;N;0.5;0.0;0.05;A;S;S
134;S;S;Medio;N;0.5;0.0;0.35;P;S;S
134;S;N;Medio;N;0.5;0.6666666666666666;0.075;A;N;S
134;N;N;Medio;N;0.0;0.6666666666666666;0.025;A;N;N
134;S;S;Medio;N;0.5;0.3333333333333333;0.175;A;N;S
134;S;N;Alto;N;0.5;0.3333333333333333;0.075;A;N;S
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;N;Medio;N;0.5;0.0;0.05;P;S;S
134;S;N;Alto;N;0.5;0.0;0.075;P;N;S
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;S;N;Medio;N;1.0;0.0;0.075;P;N;S
134;S;N;Alto;N;0.5;1.0;0.075;A;N;S
134;N;N;Medio;N;0.5;0.3333333333333333;0.025;A;N;N
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;S;N;Medio;N;0.5;0.0;0.05;P;N;S
134;S;N;Medio;N;0.5;0.0;0.075;P;N;S
134;S;S;Alto;N;1.0;0.0;0.175;A;S;S
134;N;N;Medio;N;1.0;0.0;0.025;P;N;N
134;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
134;S;S;Medio;N;0.0;0.0;0.225;P;S;S
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;N;Alto;N;1.0;0.0;0.075;A;S;S
134;S;N;Alto;N;1.0;0.3333333333333333;0.1;A;N;S
134;S;N;Alto;N;0.5;0.0;0.075;P;S;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;N;N;Bajo;N;1.0;0.6666666666666666;0.0;A;N;N
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;N;Alto;N;0.5;0.3333333333333333;0.075;A;N;S
134;S;S;Medio;N;0.0;0.0;0.125;P;S;S
134;S;S;Alto;N;1.0;1.0;0.325;A;S;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Medio;N;0.5;0.0;0.05;P;N;S
134;S;S;Alto;N;0.0;0.6666666666666666;0.275;A;S;S
134;S;S;Medio;N;0.5;0.0;0.25;P;S;S
134;S;N;Medio;N;0.5;0.0;0.075;P;N;S
134;S;S;Medio;N;0.5;0.0;0.125;P;N;S
134;S;N;Alto;N;1.0;0.3333333333333333;0.05;A;N;S
134;S;S;Alto;N;1.0;0.0;0.225;P;S;S
134;S;N;Alto;N;1.0;0.6666666666666666;0.05;A;N;S
134;S;N;Alto;N;1.0;0.0;0.075;P;N;S
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;N;Alto;N;0.5;0.0;0.05;P;N;S
134;N;N;Alto;N;0.0;0.0;0.025;P;N;N
134;N;N;Medio;N;0.5;0.0;0.025;A;N;N
134;S;N;Alto;N;0.5;0.0;0.075;P;N;S
134;S;S;Medio;N;1.0;0.0;0.15;P;S;S
134;S;N;Alto;N;1.0;0.0;0.075;P;S;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;N;N;Medio;N;0.5;0.6666666666666666;0.025;A;N;N
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;S;Alto;N;0.5;0.3333333333333333;0.25;A;S;S
134;N;N;Bajo;N;1.0;0.0;0.0;A;N;N
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;S;Alto;N;0.5;0.0;0.175;P;N;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;S;N;Medio;N;0.5;0.0;0.05;P;N;S
134;S;N;Alto;N;0.5;0.6666666666666666;0.075;A;N;S
134;N;N;Medio;N;0.5;0.6666666666666666;0.025;A;N;N
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;N;Alto;N;0.5;0.3333333333333333;0.075;A;N;S
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;S;N;Medio;N;0.5;0.3333333333333333;0.1;A;N;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;S;S;Alto;N;0.5;0.0;0.3;P;S;S
134;N;N;Alto;N;1.0;0.6666666666666666;0.025;A;N;N
134;S;N;Medio;N;0.5;0.0;0.05;P;N;S
134;S;N;Alto;N;1.0;0.0;0.075;P;S;S
134;S;N;Medio;N;0.0;0.0;0.075;P;S;S
134;S;N;Alto;N;0.0;0.0;0.075;P;N;S
134;S;N;Medio;N;0.5;0.0;0.1;A;N;S
