propuesta;estado_inscripcion;fecha_ultimo_examen;anio_ultima_reinscripcion;regular;calidad;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera
134;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.125
130;Pendiente;14/12/2020;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;A;S;Alto;N;1.0;0.0;0.14285714285714285
130;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;0.0;0.0;0.2619047619047619
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;;N;P;N;Medio;N;0.5;0.3333333333333333;0.023809523809523808
130;Aceptado;14/12/2020;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
130;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.0;0.0;0.11904761904761904
130;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.0;0.6666666666666666;0.0
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.3333333333333333;0.35714285714285715
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.14285714285714285
130;Aceptado;;;N;P;N;Bajo;N;0.0;0.0;0.0
130;Pendiente;;2021.0;S;A;S;Medio;N;0.5;0.0;0.11904761904761904
130;Pendiente;16/03/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.11904761904761904
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Aceptado;15/12/2020;2021.0;S;A;S;Alto;N;0.0;0.0;0.14285714285714285
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.0;0.42857142857142855
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.14285714285714285
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.0;0.07142857142857142
130;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.047619047619047616
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
134;Pendiente;;;N;P;N;Medio;N;1.0;0.0;0.025
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Aceptado;;;N;P;N;Medio;N;1.0;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;20/08/2021;2021.0;S;A;S;Alto;N;1.0;0.3333333333333333;0.23809523809523808
130;Pendiente;;2021.0;S;A;S;Medio;N;1.0;0.0;0.11904761904761904
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.3333333333333333;0.6904761904761905
130;Pendiente;19/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.42857142857142855
134;Pendiente;;2021.0;S;A;N;Alto;N;0.0;0.0;0.05
130;Pendiente;20/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.11904761904761904
130;Aceptado;03/08/2021;2021.0;S;A;N;Alto;N;0.0;0.3333333333333333;0.09523809523809523
130;Aceptado;;;N;P;N;Medio;N;0.0;0.3333333333333333;0.023809523809523808
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;19/08/2021;2021.0;S;A;S;Alto;A;0.5;0.0;0.14285714285714285
130;Pendiente;05/08/2021;2021.0;S;A;N;Medio;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;A;S;Alto;N;1.0;0.6666666666666666;0.7857142857142857
130;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.40476190476190477
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;20/08/2021;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.07142857142857142
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.3333333333333333;0.05
130;Aceptado;;;N;P;N;Medio;N;0.0;0.6666666666666666;0.023809523809523808
130;Aceptado;18/08/2021;2021.0;S;A;S;Alto;N;0.0;0.3333333333333333;0.14285714285714285
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;;2021.0;S;A;N;Medio;I;0.5;0.6666666666666666;0.047619047619047616
130;Pendiente;20/08/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.11904761904761904
130;Aceptado;05/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.21428571428571427
130;Pendiente;20/08/2021;2021.0;S;A;N;Alto;N;0.0;0.0;0.07142857142857142
130;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;S;Medio;N;1.0;0.3333333333333333;0.2857142857142857
130;Pendiente;20/08/2021;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333
130;Pendiente;05/08/2021;2021.0;S;A;N;Medio;N;1.0;0.0;0.09523809523809523
130;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.2857142857142857
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.3333333333333333
134;Pendiente;20/08/2021;2021.0;S;A;S;Alto;N;0.0;0.0;0.225
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;;;N;P;N;Alto;N;1.0;0.3333333333333333;0.023809523809523808
134;Pendiente;23/08/2021;2021.0;S;A;N;Medio;N;1.0;0.0;0.075
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
130;Pendiente;23/08/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;;N;P;N;Medio;N;0.0;0.6666666666666666;0.023809523809523808
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;1.0;0.6666666666666666;0.0
130;Aceptado;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
130;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.6666666666666666;0.047619047619047616
130;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
130;Aceptado;19/08/2021;2021.0;S;A;S;Alto;N;0.5;1.0;0.40476190476190477
130;Aceptado;05/08/2021;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.07142857142857142
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;19/08/2021;2021.0;S;A;S;Alto;A;1.0;0.3333333333333333;0.23809523809523808
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.3333333333333333;0.38095238095238093
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;20/03/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.09523809523809523
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
134;Pendiente;15/03/2021;2021.0;S;A;N;Medio;N;0.5;0.0;0.075
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Aceptado;;;N;P;N;Alto;N;1.0;0.6666666666666666;0.023809523809523808
130;Aceptado;19/08/2021;2021.0;S;A;S;Alto;N;0.0;0.6666666666666666;0.40476190476190477
130;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;A;N;Medio;N;1.0;0.3333333333333333;0.047619047619047616
130;Pendiente;;;N;P;N;Bajo;N;0.0;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.047619047619047616
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.6666666666666666;0.30952380952380953
130;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Alto;N;0.0;0.6666666666666666;0.023809523809523808
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.6666666666666666;0.047619047619047616
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.0;0.7619047619047619
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.047619047619047616
130;Aceptado;23/08/2021;2021.0;S;A;S;Alto;N;0.5;0.3333333333333333;0.47619047619047616
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.6666666666666666;0.047619047619047616
130;Pendiente;27/02/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.19047619047619047
130;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.09523809523809523
130;Aceptado;17/12/2020;2021.0;S;A;N;Alto;N;1.0;1.0;0.07142857142857142
130;Aceptado;;;N;P;N;Medio;N;1.0;0.3333333333333333;0.023809523809523808
130;Pendiente;20/03/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.11904761904761904
130;Aceptado;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
130;Aceptado;;;N;P;N;Bajo;N;1.0;0.6666666666666666;0.0
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.023809523809523808
130;Pendiente;;;N;P;N;Bajo;N;0.0;0.0;0.0
130;Pendiente;20/08/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.16666666666666666
130;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.09523809523809523
134;Pendiente;23/08/2021;2021.0;S;A;N;Alto;N;0.0;0.0;0.1
130;Pendiente;;;N;P;N;Bajo;N;0.0;0.0;0.0
130;Aceptado;23/08/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.14285714285714285
130;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.6666666666666666;0.07142857142857142
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;;;N;P;N;Alto;N;1.0;0.0;0.023809523809523808
130;Aceptado;23/08/2021;2021.0;S;A;N;Alto;N;0.5;0.6666666666666666;0.09523809523809523
130;Aceptado;;2021.0;S;A;N;Medio;A;0.5;0.0;0.047619047619047616
130;Aceptado;;;N;P;N;Bajo;N;1.0;0.3333333333333333;0.0
130;Aceptado;;2021.0;S;A;N;Alto;N;0.0;0.6666666666666666;0.047619047619047616
130;Aceptado;20/08/2021;2021.0;S;A;S;Alto;N;1.0;0.6666666666666666;0.21428571428571427
130;Pendiente;20/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.23809523809523808
130;Pendiente;;2021.0;S;A;S;Alto;N;0.5;0.0;0.14285714285714285
130;Aceptado;20/08/2021;2021.0;S;A;S;Alto;I;1.0;0.3333333333333333;0.11904761904761904
130;Pendiente;05/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.16666666666666666
130;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.047619047619047616
130;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Pendiente;23/08/2021;2021.0;S;A;N;Medio;N;0.5;0.0;0.07142857142857142
130;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.6666666666666666;0.047619047619047616
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.6666666666666666;0.0
130;Aceptado;;2021.0;S;A;S;Alto;N;0.0;0.3333333333333333;0.14285714285714285
134;Pendiente;27/02/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.075
130;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.2619047619047619
130;Aceptado;;;N;P;N;Alto;N;0.5;1.0;0.023809523809523808
130;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.047619047619047616
130;Pendiente;24/02/2021;2021.0;S;A;N;Medio;N;0.0;0.0;0.047619047619047616
130;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
130;Aceptado;;;N;P;N;Medio;N;0.0;0.3333333333333333;0.023809523809523808
130;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.3333333333333333;0.5238095238095238
130;Aceptado;20/03/2021;2021.0;S;A;S;Alto;N;1.0;0.6666666666666666;0.11904761904761904
130;Pendiente;27/02/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.19047619047619047
130;Aceptado;19/12/2020;2021.0;S;A;S;Alto;N;0.5;0.6666666666666666;0.9047619047619048
130;Aceptado;18/08/2021;2021.0;S;A;S;Alto;N;0.0;0.3333333333333333;0.30952380952380953
130;Aceptado;;2021.0;S;A;S;Alto;N;0.5;0.3333333333333333;0.8809523809523809
130;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.5;0.0;0.11904761904761904
134;Aceptado;;2021.0;S;A;N;Alto;N;0.0;0.3333333333333333;0.05
134;Pendiente;23/08/2021;2021.0;S;A;N;Alto;N;0.0;0.0;0.1
134;Pendiente;;2021.0;S;A;N;Alto;N;0.0;0.0;0.05
134;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.25
134;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
134;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.0;0.05
134;Pendiente;;2021.0;S;A;N;Alto;N;0.5;0.0;0.1
134;Pendiente;;2021.0;S;A;S;Alto;N;0.5;0.0;0.125
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.0;0.05
134;Aceptado;18/08/2021;2021.0;S;A;S;Alto;N;0.5;1.0;0.2
134;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.15
134;Aceptado;18/08/2021;2021.0;S;A;N;Alto;I;0.5;0.0;0.075
134;Aceptado;;;N;P;N;Alto;A;0.5;0.6666666666666666;0.025
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Pendiente;;;N;P;N;Bajo;N;0.0;0.0;0.0
134;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.5;0.0;0.2
134;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
134;Pendiente;14/12/2020;2021.0;S;A;N;Alto;N;0.5;0.0;0.075
134;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.5;0.0;0.2
134;Aceptado;;;N;P;N;Medio;N;0.5;0.3333333333333333;0.025
134;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.225
134;Aceptado;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Aceptado;;;N;P;N;Bajo;N;0.0;0.6666666666666666;0.0
134;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.05
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Aceptado;;;N;P;N;Bajo;N;0.5;0.0;0.0
134;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.0;0.0;0.175
134;Aceptado;;;N;P;N;Alto;N;0.0;0.3333333333333333;0.025
134;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.125
134;Aceptado;20/08/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.05
134;Pendiente;23/08/2021;2021.0;S;A;S;Medio;N;0.5;0.0;0.35
134;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.6666666666666666;0.075
134;Aceptado;;;N;P;N;Medio;N;0.0;0.6666666666666666;0.025
134;Aceptado;;2021.0;S;A;S;Medio;N;0.5;0.3333333333333333;0.175
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.075
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Pendiente;16/03/2021;2021.0;S;A;N;Medio;N;0.5;0.0;0.05
134;Pendiente;;2021.0;S;A;N;Alto;N;0.5;0.0;0.075
134;Pendiente;;;N;P;N;Bajo;N;1.0;0.0;0.0
134;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.075
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;1.0;0.075
134;Aceptado;;;N;P;N;Medio;N;0.5;0.3333333333333333;0.025
134;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.05
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.05
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.075
134;Aceptado;17/03/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.175
134;Pendiente;;;N;P;N;Medio;N;1.0;0.0;0.025
134;Pendiente;;;N;P;N;Bajo;N;0.0;0.0;0.0
134;Pendiente;20/08/2021;2021.0;S;A;S;Medio;N;0.0;0.0;0.225
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Aceptado;15/03/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.075
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.3333333333333333;0.1
134;Pendiente;20/08/2021;2021.0;S;A;N;Alto;N;0.5;0.0;0.075
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Aceptado;;;N;P;N;Bajo;N;1.0;0.6666666666666666;0.0
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.075
134;Pendiente;15/12/2020;2021.0;S;A;S;Medio;N;0.0;0.0;0.125
134;Aceptado;18/08/2021;2021.0;S;A;S;Alto;N;1.0;1.0;0.325
134;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.05
134;Aceptado;23/08/2021;2021.0;S;A;S;Alto;N;0.0;0.6666666666666666;0.275
134;Pendiente;18/08/2021;2021.0;S;A;S;Medio;N;0.5;0.0;0.25
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.075
134;Pendiente;;2021.0;S;A;S;Medio;N;0.5;0.0;0.125
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.3333333333333333;0.05
134;Pendiente;05/08/2021;2021.0;S;A;S;Alto;N;1.0;0.0;0.225
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.6666666666666666;0.05
134;Pendiente;;2021.0;S;A;N;Alto;N;1.0;0.0;0.075
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Pendiente;;2021.0;S;A;N;Alto;N;0.5;0.0;0.05
134;Pendiente;;;N;P;N;Alto;N;0.0;0.0;0.025
134;Aceptado;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Pendiente;;2021.0;S;A;N;Alto;N;0.5;0.0;0.075
134;Pendiente;05/08/2021;2021.0;S;A;S;Medio;N;1.0;0.0;0.15
134;Pendiente;18/03/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.075
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Aceptado;;;N;P;N;Medio;N;0.5;0.6666666666666666;0.025
134;Pendiente;;;N;P;N;Bajo;N;0.5;0.0;0.0
134;Aceptado;20/08/2021;2021.0;S;A;S;Alto;N;0.5;0.3333333333333333;0.25
134;Aceptado;;;N;P;N;Bajo;N;1.0;0.0;0.0
134;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
134;Pendiente;;2021.0;S;A;S;Alto;N;0.5;0.0;0.175
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.05
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.6666666666666666;0.075
134;Aceptado;;;N;P;N;Medio;N;0.5;0.6666666666666666;0.025
134;Aceptado;;;N;P;N;Bajo;N;0.5;0.3333333333333333;0.0
134;Aceptado;;2021.0;S;A;N;Alto;N;0.5;0.3333333333333333;0.075
134;Pendiente;;2021.0;S;A;N;Medio;N;1.0;0.0;0.05
134;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.3333333333333333;0.1
134;Pendiente;;;N;P;N;Alto;N;0.5;0.0;0.025
134;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.3
134;Aceptado;;;N;P;N;Alto;N;1.0;0.6666666666666666;0.025
134;Pendiente;;2021.0;S;A;N;Medio;N;0.5;0.0;0.05
134;Pendiente;19/08/2021;2021.0;S;A;N;Alto;N;1.0;0.0;0.075
134;Pendiente;18/03/2021;2021.0;S;A;N;Medio;N;0.0;0.0;0.075
134;Pendiente;;2021.0;S;A;N;Alto;N;0.0;0.0;0.075
134;Aceptado;;2021.0;S;A;N;Medio;N;0.5;0.0;0.1
134;Pendiente;18/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.15
134;Aceptado;;;N;P;N;Bajo;N;1.0;0.3333333333333333;0.0
134;Pendiente;;2021.0;S;A;N;Alto;N;0.5;0.0;0.05
134;Pendiente;;;N;P;N;Medio;N;0.5;0.0;0.025
134;Aceptado;;2021.0;S;A;N;Alto;N;1.0;0.0;0.05
134;Pendiente;23/08/2021;2021.0;S;A;S;Alto;N;0.5;0.0;0.175
134;Aceptado;;;N;P;N;Bajo;N;0.0;0.6666666666666666;0.0
